"key","ID","dataset","TL_mm","width_mm","height_mm","weight_g","gonads_g","pred.eggs","pred.age","age","class"
55,"16754","batch",302.6962971314788,63.84904584884213,108.35506266824518,1274,NA,5096,17.54986915623184,NA,7
56,"16755","batch",303.3871878441423,67.92028178183541,100.50395044800703,1274,NA,5147,17.62540511933357,NA,7
57,"17621","batch",266.49731365195476,44.992595122676285,91.89105083974857,985,NA,2917,13.828387670244314,NA,6
58,"17622","batch",276.4130788964685,43.73841515735147,93.60370748061308,985,NA,3423,14.804385780611348,NA,6
59,"18681","batch",283.4382487444673,53.67605669724549,91.0696921542512,875,NA,3821,15.51485177022932,NA,6
60,"18682","batch",270.9346791722346,47.07518908430482,93.2726818722353,875,NA,3136,14.261377013876455,NA,6
61,"18683","batch",295.7309202887118,68.8868998360053,109.89277449609735,875,NA,4602,16.798395088632937,NA,6
62,"18684","batch",265.38656526524574,46.374548360393995,100.73387020574833,875,NA,2864,13.720938296943384,NA,6
63,"18685","batch",273.49422058672644,52.04930881569967,86.328832602538,875,NA,3268,14.513896420202059,NA,6
64,"18686","batch",267.2873390351888,47.1218779413399,90.30438230626784,875,NA,2955,13.90503774774881,NA,6
65,"18687","batch",282.892652886454,46.48043729566485,105.50775350963215,875,NA,3789,15.459090782820002,NA,6
66,"18688","batch",263.6428222551476,47.14695583329392,84.11146865888956,875,NA,2782,13.552999594832922,NA,6
67,"19641","batch",274.4487171655055,39.943209824093586,80.51919135233707,865,NA,3318,14.608591678007407,NA,6
68,"19642","batch",288.54922286164947,60.42718590357244,94.45317520587723,865,NA,4132,16.042108129565673,NA,6
69,"19643","batch",255.12809880403802,45.11663686451604,81.73472038094026,865,NA,2409,12.74570977614366,NA,6
70,"19644","batch",293.89074517181143,66.69514545782951,102.72618442834342,865,NA,4478,16.602854348863325,NA,6
71,"20741","batch",309.1377505082637,59.08935588186063,105.83640083836676,1265,NA,5589,18.261331022063423,NA,7
72,"20742","batch",321.1465684045106,54.48234925570739,115.18728264336778,1265,NA,6604,19.63272030196854,NA,7
73,"20743","batch",309.32040373981,60.00056374671997,105.78307033436313,1265,NA,5603,18.28174398417583,NA,7
74,"20744","batch",309.0105983391404,50.731781026663114,111.16567565307987,1265,NA,5578,18.247128640939298,NA,7
75,"21751","batch",312.43242988176644,49.678798481609455,107.40250654671897,1320,NA,5854,18.63160908789557,NA,7
76,"21752","batch",322.41276006028056,60.98765012986591,123.00792062254793,1320,NA,6718,19.780899293468273,NA,7
77,"21753","batch",321.7441472951323,56.19934800728061,108.51966739210602,1320,NA,6658,19.70256552908371,NA,7
78,"21754","batch",310.35974904336035,56.414494073630415,111.13520716923937,1320,NA,5686,18.39815444270417,NA,7
79,"21755","batch",319.65569677203894,58.95348967403264,106.69547470778537,1320,NA,6470,19.45914635816574,NA,7
80,"22751","batch",324.05483193323016,55.80688865637055,116.22251409482868,1126,NA,6870,19.97412227544213,NA,7
81,"22752","batch",311.431827634573,53.27727103223185,109.19806555546873,1126,NA,5772,18.518688660148086,NA,7
82,"22753","batch",318.1003522891551,57.29344333043741,100.81956801963037,1126,NA,6334,19.27909106888295,NA,7
83,"22754","batch",310.599864853546,64.10894996021094,108.19232852203157,1126,NA,5705,18.425110257373778,NA,7
84,"22755","batch",308.8084516450763,47.56943531762646,116.94083738288958,1126,NA,5563,18.224562996635015,NA,7
85,"23741","batch",319.17009155265987,62.23487978725584,117.69505093884929,1062.5,NA,6428,19.402818191957444,NA,7
86,"23742","batch",305.86461412347853,57.43473455479491,108.24993786241755,1062.5,NA,5334,17.89778120525924,NA,7
87,"23743","batch",318.06690933927894,65.18732616265518,104.02159230038731,1062.5,NA,6331,19.275230933790294,NA,7
88,"23744","batch",303.92060610465705,53.204536048738674,114.71859063637069,1062.5,NA,5187,17.683849968365884,NA,7
