otolith.vial,transect,obs,FL_mm,TL_mm,width_mm,height_mm,weight_g,health,colour,notes,ID,PIT.HEX,PIT.DEC,Sex,Eggs,Gonad.Mass.g,Bodywally.Thickness..mm.,Searcher,MergeNotes,Otoliths,Picture_O1,Otolith.Analysis_O1,Age.First.Read_O1,Certainty_O1,Notes.Read_O1,First.Read.Date,Picture_O2,Otolith.Analysis_O2,Age.First.Read_O2,Certainty_O2,NotesO2,AgeDiff,ReadToUse,use.age,oto
96,Fishway AM,29-Apr-25,241,262,46,88,333,,Frozen,,96,,,F,Y,35.8,3,JM,,2,Y,lapilli - R,14,1,beautiful,29/8/2025,Y,lapilli - L,18,4,very odd looking,-4,O1,14,l
97,Fishway ,05-May-25,242,273,55,98,444,,Frozen,,97,,,M,N,NA,5,JM,,1,Y,asteriscii - L,9,1,stunning,29/8/2025,,,NA,NA,,,,9,a
98,Fishway ,05-May-25,190,208,34,75,180,,Frozen,,98,,,M,N,NA,4,JM,,2,Y,asteriscii - R,4,1,,29/8/2025,Y,asteriscii - L,8,3,rostrum faded,-4,O1,4,a
99,Fishway ,05-May-25,267,296,44,100,420,,Frozen,,99,,,M,N,NA,5,JM,,2,Y,lapilli - R,17,2,core is visible but rostrum is messy,29/8/2025,Y,lapilli - L,21,2,core is clear but there are rings at th edge of rostrum hard to distinguish ,-4,O1,17,l
100,Fishway ,07-May-25,232,254,39,86,283,,Frozen,,100,,,F,Y,13.9,4,JM,,2,Y,asteriscii - R,10,2,"edge is faded, so could be younger",29/8/2025,Y,asteriscii - L,10,3,faded rostrum,0,O1,10,a
101,Fishway,07-May-25,187,207,35,78,181,,Frozen,,101,,,F,Y,4.2,2,JM,,2,Y,lapilli - R,18,3,"dark core, faded edge issue",29/8/2025,Y,lapilli - L,19,2,,-1,O2,19,l
102,Blackbird Marsh,12-May-25,197,210,35,75,170,,Frozen,,102,,,M,N,NA,3,JM,,2,Y,lapilli - R,15,2,core is visible but the rostrum is a little blended and faded but reading from the anti-rostrum is clearer (left edge in),29/8/2025,Y,lapilli - L,16,2,,-1,O2,16,l
103,Blackbird Marsh,12-May-25,169,NA,31,64,125,"Tail damaged, so no TL",Frozen,,103,,,F,Y,13.3,3,JM,,2,Y,asteriscii - R,9,1,,29/8/2025,Y,asteriscii - L,12,3,,-3,O1,9,a
104,Blackbird Marsh,12-May-25,186,205,32,66,146,,Frozen,,104,,,M,N,NA,2,JM,,1,,,NA,NA,found broken,,,,NA,NA,,,,,
105,Blackbird Marsh,12-May-25,178,193,30,65,131,,Frozen,,105,,,M,N,NA,2,JM,,2,Y,asteriscii - R,6,1,looks like the sixth year is new,29/8/2025,Y,asteriscii - L,10,4,faded rostrum,-4,O1,6,a
