"key","ID","dataset","TL_mm","width_mm","est_width_mm","weight_g","gonads_g","pred.eggs","age","class"
125,"33631","batch",270.38582838885486,NA,48.63170211941076,983.3333333333334,NA,3108,NA,6
126,"33632","batch",276.3173514709342,NA,49.900115407344416,983.3333333333334,NA,3418,NA,6
127,"33633","batch",251.36884132423438,NA,44.56505705111389,983.3333333333334,NA,2258,NA,6
128,"34751","batch",310.7648501228541,NA,57.266463716462795,1208,NA,5719,NA,7
129,"34752","batch",316.2867632471025,NA,58.44728487903619,1208,NA,6177,NA,7
130,"34753","batch",308.7736462112516,NA,56.84065916921374,1208,NA,5560,NA,7
131,"34754","batch",303.7788581531495,NA,55.77255988752164,1208,NA,5176,NA,7
132,"34755","batch",306.015083020553,NA,56.25076039308689,1208,NA,5345,NA,7
133,"35791","batch",314.01245990768075,NA,57.9609415677828,1378.888888888889,NA,5985,NA,7
134,"35792","batch",303.1170153953135,NA,55.63102960315031,1378.888888888889,NA,5127,NA,7
135,"35793","batch",318.62834513932467,NA,58.94801522194808,1378.888888888889,NA,6380,NA,7
136,"35794","batch",305.26184563338757,NA,56.089686028606096,1378.888888888889,NA,5288,NA,7
137,"35795","batch",303.76702838763595,NA,55.77003017777207,1378.888888888889,NA,5176,NA,7
138,"35796","batch",317.0708935968578,NA,58.61496548001145,1378.888888888889,NA,6244,NA,7
139,"35797","batch",319.002859313041,NA,59.0281023678443,1378.888888888889,NA,6413,NA,7
140,"35798","batch",318.0080068279058,NA,58.81536036309821,1378.888888888889,NA,6326,NA,7
141,"35799","batch",320.5925976727158,NA,59.36805641199892,1378.888888888889,NA,6554,NA,7
142,"36771","batch",317.23342705890536,NA,58.649722084705076,1225.7142857142858,NA,6258,NA,7
143,"36772","batch",305.2436732761562,NA,56.08580000151552,1225.7142857142858,NA,5287,NA,7
144,"36773","batch",308.2677949797362,NA,56.73248654392121,1225.7142857142858,NA,5520,NA,7
145,"36774","batch",315.0217466391623,NA,58.17677023165736,1225.7142857142858,NA,6070,NA,7
146,"36775","batch",305.43030971102417,NA,56.12571085252685,1225.7142857142858,NA,5301,NA,7
147,"36776","batch",303.87934508547187,NA,55.79404829083015,1225.7142857142858,NA,5184,NA,7
148,"36777","batch",304.1121406443417,NA,55.843829936481086,1225.7142857142858,NA,5201,NA,7
149,"37741","batch",320.7931187134236,NA,59.410936385493855,1175,NA,6572,NA,7
150,"37742","batch",321.59858250431716,NA,59.58317898847815,1175,NA,6644,NA,7
151,"37743","batch",323.0894484259188,NA,59.90198987723626,1175,NA,6780,NA,7
152,"37744","batch",320.82323944568634,NA,59.41737748612107,1175,NA,6575,NA,7
153,"38631","batch",290.9202926636208,NA,53.02284870794958,1083.3333333333333,NA,4283,NA,6
154,"38632","batch",261.28512336011045,NA,46.68558220580884,1083.3333333333333,NA,2675,NA,6
155,"38633","batch",276.7506423527375,NA,49.99277152693033,1083.3333333333333,NA,3441,NA,6
156,"39731","batch",316.17845574207604,NA,58.42412410284811,1190,NA,6168,NA,7
157,"39732","batch",306.17700529657304,NA,56.28538630007135,1190,NA,5358,NA,7
158,"39733","batch",320.65231429599226,NA,59.38082637975026,1190,NA,6559,NA,7
159,"40811","batch",333.5383143723011,NA,62.136404247176245,1390,NA,7795,NA,8
160,"41621","batch",289.41106681968085,NA,52.70011168266008,1055,NA,4187,NA,6
161,"41622","batch",252.83140369644389,NA,44.87781543065171,1055,NA,2316,NA,6
162,"42741","batch",306.540196608752,NA,56.36305213396513,1607.5,NA,5386,NA,7
163,"42742","batch",314.1888695489615,NA,57.998665492991165,1607.5,NA,6000,NA,7
164,"42743","batch",318.63767827115953,NA,58.95001104465223,1607.5,NA,6381,NA,7
165,"42744","batch",306.029563523829,NA,56.25385694392503,1607.5,NA,5347,NA,7
166,"43811","batch",328.50816952995956,NA,61.060744173032134,1630,NA,7293,NA,8
167,"44621","batch",255.1343795908615,NA,45.37029016030347,1285,NA,2410,NA,6
168,"44622","batch",287.27947290753946,NA,52.24428574972098,1285,NA,4053,NA,6
169,"45731","batch",316.9813413769007,NA,58.595815385813765,1353.3333333333333,NA,6237,NA,7
170,"45732","batch",318.42177197895944,NA,58.903841046460286,1353.3333333333333,NA,6362,NA,7
171,"45733","batch",316.9260000567883,NA,58.58398104498242,1353.3333333333333,NA,6232,NA,7
172,"46631","batch",291.12919374671765,NA,53.067520692867646,1206.6666666666667,NA,4297,NA,6
173,"46632","batch",274.45561743341386,NA,49.50199705576559,1206.6666666666667,NA,3318,NA,6
174,"46633","batch",297.3648883504793,NA,54.40097885959111,1206.6666666666667,NA,4715,NA,6
